Time_Now,Blanking_Util,Blanking_SKU1_Queue,Blanking_SKU2_Queue,Blanking_SKU3_Queue,Blanking_SKU4_Queue,Press1_Util,Press2_Util,Press3_Util,Press4_Util,Press1_Queue,Press2_Queue,Press3_Queue,Press4_Queue,Cell1_Util,Cell2_Util,Cell3_Util,Cell4_Util,Cell1_Queue,Cell2_Queue,Cell3_Queue,Cell4_Queue,Warehouse1_Queue,Warehouse_2_Queue,Warehouse_3_Queue,Warehouse_4_Queue,c_Cycle1,c_Cycle2,c_Cycle3,c_Cycle4,c_Cell1_SKU1,c_Cell1__SKU2,c_Cell1__SKU3,c_Cell1__SKU4,c_Cell2__SKU1,c_Cell2__SKU2,c_Cell2__SKU3,c_Cell2__SKU4,c_Cell3__SKU1,c_Cell3__SKU2,c_Cell3__SKU3,c_Cell3__SKU4,c_Cell4__SKU1,c_Cell4__SKU2,c_Cell4__SKU3,c_Cell4__SKU4,Paint1_Util,Paint2_Util,Quality_Util,Paint1_Queue,Paint2_Queue,Quality_Queue,Forklift_Util,Forklift_Blanking_Queue,Forklift_Press_Queue,Forklift_Assembly_Queue,c_TotalProducts,SKU1_VA_Time,SKU1_NVA_Time,SKU1_Transport_Time,SKU1_Wait_Time,SKU1_Other_Time,SKU2_VA_Time,SKU2_NVA_Time,SKU2_Transport_Time,SKU2_Wait_Time,SKU2_Other_Time,SKU3_VA_Time,SKU3_NVA_Time,SKU3_Transport_Time,SKU3_Wait_Time,SKU3_Other_Time,SKU4_VA_Time,SKU4_NVA_Time,SKU4_Transport_Time,SKU4_Wait_Time,SKU4_Other_Time,Blanking_Queue
24,0.846367,0.045715,0.056373,0.055737,0.035849,0.410297,0.434561,0.481388,0.399992,56.540291,65.273786,52.970766,47.964826,0.84887,0.673814,0.705012,0.819405,0,0,0,0,98.155568,19.580277,77.580864,75.124986,22833,15515,16202,36728,13967,10867,0,4382,0,2851,0,4334,0,903,4707,0,0,0,11743,4934,0.472565,0.504126,0.432738,0,0,47.361617,0.606002,157.256741,142.123969,137.454854,54377,1.525651,0,0.53681,0.587305,0,1.522853,0,0.532394,0.441645,0,1.525071,0,0.537617,0.45365,0,1.523338,0,0.536243,0.473453,0,58.361452
24,0.851097,0.051937,0.052934,0.038512,0.042248,0.455471,0.454445,0.387975,0.442986,74.772823,52.530064,49.303143,59.119986,0.87675,0.660415,0.629526,0.803448,0,0,0,0,162.632374,18.164794,64.827578,69.374905,23688,16021,13241,37249,15071,11180,0,3615,0,2932,0,4125,0,1346,3852,0,0,0,9556,7484,0.482683,0.501912,0.436583,0,0,48.266912,0.599976,166.488725,142.113668,140.757582,54857,1.525665,0,0.534195,0.684177,0,1.522836,0,0.535767,0.401993,0,1.524986,0,0.536764,0.473677,0,1.523344,0,0.534992,0.46438,0,62.830599
24,0.846115,0.05221,0.047499,0.043181,0.040979,0.496717,0.450816,0.417308,0.352829,67.283036,72.901066,39.198518,33.994084,0.895845,0.660288,0.654895,0.766823,0,0,0,0,335.401556,20.369416,46.120108,71.720194,26456,15903,14142,35109,16603,11042,0,2260,0,2904,0,4149,0,1198,4139,0,0,0,10282,5575,0.476897,0.492906,0.429997,0,0,48.906418,0.576669,159.188501,148.427694,142.653371,54052,1.525644,0,0.535403,0.898331,0,1.522821,0,0.535631,0.427815,0,1.525064,0,0.535925,0.42409,0,1.523403,0,0.535077,0.47533,0,59.365867
24,0.841306,0.051769,0.035436,0.046788,0.052362,0.433749,0.363004,0.443909,0.456036,65.091192,47.755741,50.736794,58.137705,0.835468,0.701757,0.655724,0.816883,0,0,0,0,112.173074,16.248254,58.988737,77.579531,21321,12933,14804,39513,14688,9105,0,4331,0,2377,0,5034,0,917,4327,0,0,0,10761,6193,0.469386,0.492687,0.425083,0,0,45.724628,0.602502,147.448407,137.541961,134.8017,53419,1.525602,0,0.538221,0.598787,0,1.522883,0,0.53569,0.423567,0,1.525125,0,0.535232,0.430992,0,1.523381,0,0.533233,0.463801,0,56.698528
24,0.859599,0.045874,0.046802,0.044507,0.05721,0.418329,0.396826,0.499273,0.472454,65.075312,51.785238,64.138828,50.719379,0.869419,0.736501,0.724829,0.868744,0,0,0,0,107.982827,17.036205,100.202849,81.049638,21431,14559,16868,45227,14387,10208,0,5180,0,2665,0,5132,0,845,4895,0,0,0,12162,5618,0.497717,0.51555,0.447532,0,0,47.96345,0.63775,150.3976,138.498085,135.656133,56254,1.525526,0,0.53841,0.587298,0,1.522892,0,0.535206,0.415194,0,1.524979,0,0.538142,0.502614,0,1.523363,0,0.537223,0.44932,0,65.784631
24,0.857042,0.043433,0.057219,0.045621,0.045412,0.421702,0.468491,0.467931,0.413686,55.341178,62.974178,58.548947,42.886959,0.872448,0.703381,0.709914,0.823577,0,0,0,0,148.240131,20.752797,102.307391,60.069909,24421,16941,15918,39195,14173,11860,0,4162,0,3131,0,4385,0,1059,4643,0,0,0,11523,5335,0.496781,0.50814,0.444111,0,0,48.29459,0.615403,155.717818,139.195456,141.483021,55800,1.525566,0,0.539219,0.653982,0,1.522881,0,0.536168,0.420855,0,1.525004,0,0.537076,0.510617,0,1.52334,0,0.535735,0.429686,0,65.173168
24,0.847569,0.043917,0.052519,0.041843,0.047074,0.41773,0.522942,0.367133,0.411992,58.666608,82.283261,34.560735,39.204616,0.856581,0.668637,0.60981,0.755903,0,0,0,0,134.711731,23.530185,39.837454,53.968254,23897,18593,12293,36828,13741,12966,0,3171,0,3403,0,3793,0,1492,3607,0,0,0,8988,7046,0.473485,0.490038,0.425535,0,0,47.621224,0.597447,156.142156,144.751567,141.680598,53485,1.525594,0,0.539324,0.57696,0,1.522811,0,0.536534,0.444773,0,1.525087,0,0.535411,0.421284,0,1.523431,0,0.537523,0.418124,0,58.351624
24,0.850806,0.049483,0.048271,0.046983,0.044669,0.415583,0.412617,0.450184,0.458961,59.18002,57.580432,53.725681,47.319834,0.85563,0.712361,0.679328,0.827171,0,0,0,0,206.894915,17.550128,84.379159,72.286063,21763,14529,15253,41647,14365,10226,0,4640,0,2676,0,4880,0,1019,4438,0,0,0,11014,6116,0.480533,0.503553,0.434805,0,0,47.157333,0.613866,149.112819,139.284976,135.341643,54604,1.525595,0,0.533156,0.756742,0,1.52283,0,0.537162,0.424363,0,1.525029,0,0.53487,0.470574,0,1.523414,0,0.533651,0.434169,0,62.229797
24,0.86099,0.042258,0.051347,0.036629,0.047498,0.483152,0.519081,0.352396,0.4253,87.855796,87.4733,40.442296,51.880179,0.923747,0.746845,0.605904,0.768287,0,0,0,0,347.068279,22.542203,49.827982,94.451779,28156,18488,11938,42797,16483,12778,0,2039,0,3334,0,4649,0,1632,3488,0,0,0,8694,7762,0.49812,0.511175,0.44515,0,0,51.326488,0.590294,163.645665,150.081434,145.347584,55900,1.525573,0,0.536233,0.986757,0,1.522766,0,0.539579,0.448462,0,1.525083,0,0.539328,0.455365,0,1.523398,0,0.53843,0.500164,0,65.727899
24,0.839375,0.052165,0.041315,0.045299,0.046656,0.505943,0.388077,0.422586,0.366493,89.558111,52.687162,49.808502,34.621393,0.869569,0.633013,0.63985,0.782891,0,0,0,0,332.173048,17.374203,65.347723,49.654268,24725,14127,14326,34318,16471,9876,0,2412,0,2579,0,4158,0,961,4180,0,0,0,10427,5785,0.462006,0.476788,0.413633,0,0,46.721964,0.578815,163.391658,141.499639,143.909255,51953,1.525627,0,0.536855,0.794065,0,1.522896,0,0.537623,0.436021,0,1.52506,0,0.541141,0.472182,0,1.52343,0,0.536406,0.420058,0,55.044707
